station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
OWD,2017-11-03 03:17,-71.1733,42.1912,62.10,61.00,96.18,150.00,3.00,0.00,30.19,M,10.00,M,FEW,BKN,M,M,900.00,3300.00,M,M,M,KOWD 030317Z AUTO 15003KT 10SM FEW009 BKN033 17/16 A3019 RMK AO2 T01670161
CQX,2017-11-03 03:20,-69.9933,41.6875,M,M,M,170.00,5.00,M,30.23,M,8.00,M,SCT,M,M,M,200.00,M,M,M,M,KCQX 030320Z AUTO 17005KT 8SM SCT002 A3023 RMK VRB05KT  MADISHF
OWD,2017-11-03 03:20,-71.1733,42.1912,M,M,M,150.00,3.00,M,30.18,M,10.00,M,SCT,BKN,M,M,900.00,3300.00,M,M,M,KOWD 030320Z AUTO 15003KT 10SM SCT009 BKN033 A3018 RMK MADISHF
ORH,2017-11-03 03:20,-71.8757,42.2673,M,M,M,M,M,M,30.19,M,10.00,M,OVC,M,M,M,499.00,M,M,M,M,KORH 030320Z AUTO /////KT 10SM OVC004 A3019 RMK MADISHF
BED,2017-11-03 03:20,-71.2890,42.4699,M,M,M,190.00,7.00,M,30.17,M,10.00,M,BKN,M,M,M,800.00,M,M,M,M,KBED 030320Z AUTO 19007KT 10SM BKN008 A3017 RMK MADISHF
HYA,2017-11-03 03:20,-70.2800,41.6700,M,M,M,160.00,5.00,M,30.21,M,8.00,M,FEW,M,M,M,300.00,M,M,M,M,KHYA 030320Z AUTO 16005KT 8SM FEW003 A3021 RMK MADISHF
TAN,2017-11-03 03:20,-71.0211,41.8756,M,M,M,170.00,3.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030320Z AUTO 17003KT 10SM CLR A3019 RMK MADISHF
BOS,2017-11-03 03:20,-71.0097,42.3606,M,M,M,180.00,7.00,M,30.19,M,10.00,M,FEW,FEW,M,M,999.00,3300.00,M,M,M,KBOS 030320Z AUTO 18007KT 10SM FEW009 FEW033 A3019 RMK MADISHF
EWB,2017-11-03 03:20,-70.9583,41.6764,M,M,M,0.00,0.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030320Z AUTO 00000KT 10SM CLR A3020 RMK MADISHF
ORE,2017-11-03 03:20,-72.2886,42.5701,M,M,M,150.00,6.00,M,30.16,M,10.00,M,BKN,OVC,M,M,1600.00,10000.00,M,M,M,KORE 030320Z AUTO 15006KT 10SM BKN016 OVC100 A3016 RMK MADISHF
PYM,2017-11-03 03:20,-70.7288,41.9090,M,M,M,180.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030320Z AUTO 18003KT 10SM CLR A3020 RMK MADISHF
PVC,2017-11-03 03:20,-70.2200,42.0700,M,M,M,190.00,7.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030320Z AUTO 19007KT 10SM CLR A3021 RMK MADISHF
TAN,2017-11-03 03:25,-71.0211,41.8756,M,M,M,180.00,3.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030325Z AUTO 18003KT 10SM CLR A3019 RMK MADISHF
OWD,2017-11-03 03:25,-71.1733,42.1912,M,M,M,160.00,4.00,M,30.18,M,10.00,M,BKN,BKN,M,M,800.00,3300.00,M,M,M,KOWD 030325Z AUTO 16004KT 10SM BKN008 BKN033 A3018 RMK MADISHF
BOS,2017-11-03 03:25,-71.0097,42.3606,M,M,M,170.00,7.00,M,30.18,M,10.00,M,FEW,SCT,M,M,999.00,3300.00,M,M,M,KBOS 030325Z AUTO 17007KT 10SM FEW009 SCT033 A3018 RMK MADISHF
ORE,2017-11-03 03:25,-72.2886,42.5701,M,M,M,160.00,8.00,M,30.16,M,10.00,M,BKN,OVC,M,M,1600.00,10000.00,M,M,M,KORE 030325Z AUTO 16008KT 10SM BKN016 OVC100 A3016 RMK MADISHF
PVC,2017-11-03 03:25,-70.2200,42.0700,M,M,M,180.00,6.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030325Z AUTO 18006KT 10SM CLR A3021 RMK MADISHF
ORH,2017-11-03 03:25,-71.8757,42.2673,M,M,M,M,M,M,30.19,M,10.00,M,OVC,M,M,M,499.00,M,M,M,M,KORH 030325Z AUTO /////KT 10SM OVC004 A3019 RMK MADISHF
PYM,2017-11-03 03:25,-70.7288,41.9090,M,M,M,180.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030325Z AUTO 18003KT 10SM CLR A3020 RMK MADISHF
EWB,2017-11-03 03:25,-70.9583,41.6764,M,M,M,0.00,0.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030325Z AUTO 00000KT 10SM CLR A3020 RMK MADISHF
BED,2017-11-03 03:25,-71.2890,42.4699,M,M,M,180.00,9.00,M,30.16,M,10.00,M,BKN,M,M,M,800.00,M,M,M,M,KBED 030325Z AUTO 18009KT 10SM BKN008 A3016 RMK MADISHF
CQX,2017-11-03 03:25,-69.9933,41.6875,M,M,M,180.00,4.00,M,30.23,M,7.00,M,SCT,M,M,M,200.00,M,M,M,M,KCQX 030325Z AUTO 18004KT 7SM SCT002 A3023 RMK VRB04KT  MADISHF
FIT,2017-11-03 03:25,-71.7558,42.5519,M,M,M,0.00,0.00,M,30.18,M,9.00,M,FEW,M,M,M,1800.00,M,M,M,M,KFIT 030325Z AUTO 00000KT 9SM FEW018 A3018 RMK MADISHF
HYA,2017-11-03 03:25,-70.2800,41.6700,61.00,60.10,96.85,160.00,4.00,0.00,30.20,M,8.00,M,FEW,M,M,M,300.00,M,M,M,M,KHYA 030325Z AUTO 16004KT 8SM FEW003 16/16 A3020 RMK AO2 T01610156
ORH,2017-11-03 03:26,-71.8757,42.2673,60.10,57.00,89.48,210.00,10.00,0.00,30.19,M,10.00,M,OVC,M,M,M,500.00,M,M,M,M,KORH 030326Z AUTO 21010KT 10SM OVC005 16/14 A3019 RMK AO2 T01560139
ORE,2017-11-03 03:26,-72.2886,42.5701,61.00,59.00,93.12,160.00,7.00,0.00,30.16,M,10.00,M,BKN,OVC,M,M,1600.00,10000.00,M,M,M,KORE 030326Z AUTO 16007KT 10SM BKN016 OVC100 16/15 A3016 RMK AO2 T01610150 TSNO
TAN,2017-11-03 03:30,-71.0211,41.8756,M,M,M,0.00,0.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030330Z AUTO 00000KT 10SM CLR A3019 RMK MADISHF
PVC,2017-11-03 03:30,-70.2200,42.0700,M,M,M,180.00,6.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030330Z AUTO 18006KT 10SM CLR A3021 RMK MADISHF
FIT,2017-11-03 03:30,-71.7558,42.5519,M,M,M,0.00,0.00,M,30.18,M,8.00,M,SCT,M,M,M,1800.00,M,M,M,M,KFIT 030330Z AUTO 00000KT 8SM SCT018 A3018 RMK MADISHF
ORH,2017-11-03 03:30,-71.8757,42.2673,M,M,M,M,M,M,30.18,M,10.00,M,OVC,M,M,M,499.00,M,M,M,M,KORH 030330Z AUTO /////KT 10SM OVC004 A3018 RMK MADISHF
OWD,2017-11-03 03:30,-71.1733,42.1912,M,M,M,170.00,3.00,M,30.18,M,10.00,M,BKN,BKN,M,M,800.00,3300.00,M,M,M,KOWD 030330Z AUTO 17003KT 10SM BKN008 BKN033 A3018 RMK MADISHF
BOS,2017-11-03 03:30,-71.0097,42.3606,M,M,M,180.00,7.00,M,30.18,M,10.00,M,FEW,SCT,M,M,999.00,3300.00,M,M,M,KBOS 030330Z AUTO 18007KT 10SM FEW009 SCT033 A3018 RMK MADISHF
CQX,2017-11-03 03:30,-69.9933,41.6875,M,M,M,180.00,4.00,M,30.23,M,6.00,M,BKN,M,M,M,200.00,M,M,M,BR,KCQX 030330Z AUTO 18004KT 6SM BR BKN002 A3023 RMK VRB04KT  MADISHF
EWB,2017-11-03 03:30,-70.9583,41.6764,M,M,M,0.00,0.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030330Z AUTO 00000KT 10SM CLR A3019 RMK MADISHF
BED,2017-11-03 03:30,-71.2890,42.4699,M,M,M,190.00,7.00,M,30.16,M,10.00,M,BKN,M,M,M,900.00,M,M,M,M,KBED 030330Z AUTO 19007KT 10SM BKN009 A3016 RMK MADISHF
HYA,2017-11-03 03:30,-70.2800,41.6700,M,M,M,160.00,5.00,M,30.20,M,7.00,M,FEW,M,M,M,300.00,M,M,M,M,KHYA 030330Z AUTO 16005KT 7SM FEW003 A3020 RMK MADISHF
ORE,2017-11-03 03:30,-72.2886,42.5701,M,M,M,160.00,5.00,M,30.16,M,10.00,M,SCT,OVC,M,M,1600.00,10000.00,M,M,M,KORE 030330Z AUTO 16005KT 10SM SCT016 OVC100 A3016 RMK MADISHF
OWD,2017-11-03 03:31,-71.1733,42.1912,62.10,61.00,96.18,170.00,3.00,0.00,30.18,M,10.00,M,BKN,BKN,M,M,800.00,3300.00,M,M,M,KOWD 030331Z AUTO 17003KT 10SM BKN008 BKN033 17/16 A3018 RMK AO2 T01670161
CQX,2017-11-03 03:34,-69.9933,41.6875,59.00,59.00,100.00,180.00,6.00,0.00,30.23,M,6.00,M,BKN,M,M,M,200.00,M,M,M,BR,KCQX 030334Z AUTO 18006KT 6SM BR BKN002 15/15 A3023 RMK AO2 T01500150
PVC,2017-11-03 03:35,-70.2200,42.0700,M,M,M,180.00,7.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030335Z AUTO 18007KT 10SM CLR A3020 RMK MADISHF
OWD,2017-11-03 03:35,-71.1733,42.1912,M,M,M,170.00,4.00,M,30.18,M,10.00,M,BKN,BKN,M,M,700.00,3300.00,M,M,M,KOWD 030335Z AUTO 17004KT 10SM BKN007 BKN033 A3018 RMK MADISHF
HYA,2017-11-03 03:35,-70.2800,41.6700,M,M,M,170.00,5.00,M,30.20,M,7.00,M,SCT,M,M,M,300.00,M,M,M,M,KHYA 030335Z AUTO 17005KT 7SM SCT003 A3020 RMK MADISHF
BOS,2017-11-03 03:35,-71.0097,42.3606,M,M,M,180.00,7.00,M,30.18,M,10.00,M,FEW,SCT,M,M,999.00,3300.00,M,M,M,KBOS 030335Z AUTO 18007KT 10SM FEW009 SCT033 A3018 RMK MADISHF
CQX,2017-11-03 03:35,-69.9933,41.6875,M,M,M,180.00,6.00,M,30.23,M,6.00,M,BKN,M,M,M,200.00,M,M,M,BR,KCQX 030335Z AUTO 18006KT 6SM BR BKN002 A3023 RMK MADISHF
TAN,2017-11-03 03:35,-71.0211,41.8756,M,M,M,0.00,0.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030335Z AUTO 00000KT 10SM CLR A3019 RMK MADISHF
FIT,2017-11-03 03:35,-71.7558,42.5519,M,M,M,0.00,0.00,M,30.17,M,7.00,M,SCT,BKN,M,M,1800.00,11000.00,M,M,M,KFIT 030335Z AUTO 00000KT 7SM SCT018 BKN110 A3017 RMK MADISHF
ORH,2017-11-03 03:35,-71.8757,42.2673,M,M,M,M,M,M,30.18,M,10.00,17.00,OVC,M,M,M,499.00,M,M,M,M,KORH 030335Z AUTO /////G17KT 10SM OVC004 A3018 RMK MADISHF
BED,2017-11-03 03:35,-71.2890,42.4699,M,M,M,200.00,9.00,M,30.16,M,10.00,M,BKN,M,M,M,900.00,M,M,M,M,KBED 030335Z AUTO 20009KT 10SM BKN009 A3016 RMK MADISHF
EWB,2017-11-03 03:35,-70.9583,41.6764,M,M,M,0.00,0.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030335Z AUTO 00000KT 10SM CLR A3019 RMK MADISHF
PYM,2017-11-03 03:35,-70.7288,41.9090,M,M,M,200.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030335Z AUTO 20004KT 10SM CLR A3020 RMK MADISHF
FMH,2017-11-03 03:35,-70.5215,41.6585,60.80,59.00,93.79,170.00,8.00,0.00,30.21,M,10.00,M,SCT,SCT,M,M,3300.00,4000.00,M,M,M,KFMH 030335Z AUTO 17008KT 10SM SCT033 SCT040 16/15 A3021 RMK AO2
ORE,2017-11-03 03:35,-72.2886,42.5701,61.00,59.00,93.12,170.00,7.00,0.00,30.16,M,10.00,M,SCT,OVC,M,M,1600.00,10000.00,M,M,M,KORE 030335Z AUTO 17007KT 10SM SCT016 OVC100 16/15 A3016 RMK AO2 T01610150 TSNO
GHG,2017-11-03 03:35,-70.6721,42.0982,60.80,59.00,93.79,190.00,6.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGHG 030335Z AUTO 19006KT 10SM CLR 16/15 A3018 RMK AO2
ORE,2017-11-03 03:40,-72.2886,42.5701,M,M,M,170.00,6.00,M,30.16,M,10.00,M,SCT,OVC,M,M,1600.00,10000.00,M,M,M,KORE 030340Z AUTO 17006KT 10SM SCT016 OVC100 A3016 RMK MADISHF
PVC,2017-11-03 03:40,-70.2200,42.0700,M,M,M,180.00,8.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030340Z AUTO 18008KT 10SM CLR A3020 RMK MADISHF
PYM,2017-11-03 03:40,-70.7288,41.9090,M,M,M,0.00,0.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030340Z AUTO 00000KT 10SM CLR A3020 RMK MADISHF
EWB,2017-11-03 03:40,-70.9583,41.6764,M,M,M,0.00,0.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030340Z AUTO 00000KT 10SM CLR A3019 RMK MADISHF
TAN,2017-11-03 03:40,-71.0211,41.8756,M,M,M,0.00,0.00,M,30.19,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030340Z AUTO 00000KT 9SM CLR A3019 RMK MADISHF
BOS,2017-11-03 03:40,-71.0097,42.3606,M,M,M,190.00,7.00,M,30.18,M,10.00,M,FEW,SCT,M,M,999.00,3300.00,M,M,M,KBOS 030340Z AUTO 19007KT 10SM FEW009 SCT033 A3018 RMK MADISHF
CQX,2017-11-03 03:40,-69.9933,41.6875,M,M,M,170.00,5.00,M,30.22,M,6.00,M,BKN,M,M,M,200.00,M,M,M,BR,KCQX 030340Z AUTO 17005KT 6SM BR BKN002 A3022 RMK VRB05KT  MADISHF
ORH,2017-11-03 03:40,-71.8757,42.2673,M,M,M,M,M,M,30.18,M,10.00,M,OVC,M,M,M,499.00,M,M,M,M,KORH 030340Z AUTO /////KT 10SM OVC004 A3018 RMK MADISHF
OWD,2017-11-03 03:40,-71.1733,42.1912,M,M,M,170.00,3.00,M,30.18,M,10.00,M,BKN,M,M,M,700.00,M,M,M,M,KOWD 030340Z AUTO 17003KT 10SM BKN007 A3018 RMK MADISHF
BED,2017-11-03 03:40,-71.2890,42.4699,M,M,M,200.00,10.00,M,30.16,M,10.00,M,BKN,M,M,M,900.00,M,M,M,M,KBED 030340Z AUTO 20010KT 10SM BKN009 A3016 RMK MADISHF
HYA,2017-11-03 03:40,-70.2800,41.6700,M,M,M,160.00,6.00,M,30.19,M,7.00,M,SCT,M,M,M,300.00,M,M,M,M,KHYA 030340Z AUTO 16006KT 7SM SCT003 A3019 RMK MADISHF
PVC,2017-11-03 03:45,-70.2200,42.0700,M,M,M,210.00,7.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030345Z AUTO 21007KT 10SM CLR A3020 RMK MADISHF
CQX,2017-11-03 03:45,-69.9933,41.6875,M,M,M,180.00,5.00,M,30.22,M,7.00,M,BKN,M,M,M,200.00,M,M,M,M,KCQX 030345Z AUTO 18005KT 7SM BKN002 A3022 RMK VRB05KT  MADISHF
TAN,2017-11-03 03:45,-71.0211,41.8756,M,M,M,150.00,3.00,M,30.19,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030345Z AUTO 15003KT 7SM CLR A3019 RMK MADISHF
BED,2017-11-03 03:45,-71.2890,42.4699,M,M,M,200.00,9.00,M,30.16,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KBED 030345Z AUTO 20009KT 10SM OVC009 A3016 RMK MADISHF
HYA,2017-11-03 03:45,-70.2800,41.6700,M,M,M,170.00,6.00,M,30.19,M,6.00,M,SCT,M,M,M,300.00,M,M,M,BR,KHYA 030345Z AUTO 17006KT 6SM BR SCT003 A3019 RMK MADISHF
PYM,2017-11-03 03:45,-70.7288,41.9090,M,M,M,200.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030345Z AUTO 20003KT 10SM CLR A3020 RMK MADISHF
EWB,2017-11-03 03:45,-70.9583,41.6764,M,M,M,0.00,0.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030345Z AUTO 00000KT 10SM CLR A3019 RMK MADISHF
ORH,2017-11-03 03:45,-71.8757,42.2673,M,M,M,M,M,M,30.18,M,10.00,M,OVC,M,M,M,499.00,M,M,M,M,KORH 030345Z AUTO /////KT 10SM OVC004 A3018 RMK CIG 5V9  MADISHF
OWD,2017-11-03 03:45,-71.1733,42.1912,M,M,M,160.00,4.00,M,30.18,M,10.00,M,BKN,M,M,M,700.00,M,M,M,M,KOWD 030345Z AUTO 16004KT 10SM BKN007 A3018 RMK MADISHF
BOS,2017-11-03 03:45,-71.0097,42.3606,M,M,M,190.00,7.00,M,30.18,M,10.00,M,FEW,FEW,M,M,999.00,3300.00,M,M,M,KBOS 030345Z AUTO 19007KT 10SM FEW009 FEW033 A3018 RMK MADISHF
ORE,2017-11-03 03:45,-72.2886,42.5701,M,M,M,170.00,6.00,M,30.16,M,10.00,M,SCT,SCT,OVC,M,1600.00,7999.00,10000.00,M,M,KORE 030345Z AUTO 17006KT 10SM SCT016 SCT079 OVC100 A3016 RMK MADISHF
FIT,2017-11-03 03:45,-71.7558,42.5519,M,M,M,0.00,0.00,M,30.17,M,6.00,M,BKN,BKN,M,M,1800.00,11000.00,M,M,BR,KFIT 030345Z AUTO 00000KT 6SM BR BKN018 BKN110 A3017 RMK MADISHF
FIT,2017-11-03 03:47,-71.7558,42.5519,59.00,57.20,93.74,130.00,3.00,0.00,30.17,M,6.00,M,BKN,BKN,M,M,1800.00,11000.00,M,M,BR,KFIT 030347Z AUTO 13003KT 6SM BR BKN018 BKN110 15/14 A3017 RMK AO2
ORE,2017-11-03 03:50,-72.2886,42.5701,M,M,M,160.00,6.00,M,30.15,M,10.00,M,FEW,SCT,OVC,M,1600.00,7999.00,10000.00,M,M,KORE 030350Z AUTO 16006KT 10SM FEW016 SCT079 OVC100 A3015 RMK MADISHF
EWB,2017-11-03 03:50,-70.9583,41.6764,M,M,M,0.00,0.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030350Z AUTO 00000KT 10SM CLR A3019 RMK MADISHF
OWD,2017-11-03 03:50,-71.1733,42.1912,M,M,M,160.00,3.00,M,30.18,M,10.00,M,BKN,M,M,M,700.00,M,M,M,M,KOWD 030350Z AUTO 16003KT 10SM BKN007 A3018 RMK MADISHF
CQX,2017-11-03 03:50,-69.9933,41.6875,M,M,M,180.00,6.00,M,30.21,M,8.00,M,SCT,M,M,M,200.00,M,M,M,M,KCQX 030350Z AUTO 18006KT 8SM SCT002 A3021 RMK MADISHF
PVC,2017-11-03 03:50,-70.2200,42.0700,M,M,M,200.00,6.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030350Z AUTO 20006KT 10SM CLR A3020 RMK MADISHF
TAN,2017-11-03 03:50,-71.0211,41.8756,M,M,M,0.00,0.00,M,30.19,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030350Z AUTO 00000KT 7SM CLR A3019 RMK MADISHF
FIT,2017-11-03 03:50,-71.7558,42.5519,M,M,M,0.00,0.00,M,30.17,M,6.00,M,BKN,BKN,M,M,1699.00,11000.00,M,M,BR,KFIT 030350Z AUTO 00000KT 6SM BR BKN016 BKN110 A3017 RMK MADISHF
ORH,2017-11-03 03:50,-71.8757,42.2673,M,M,M,210.00,9.00,M,30.18,M,10.00,M,OVC,M,M,M,499.00,M,M,M,M,KORH 030350Z AUTO 21009KT 10SM OVC004 A3018 RMK CIG 5V9  MADISHF
BOS,2017-11-03 03:50,-71.0097,42.3606,M,M,M,210.00,7.00,M,30.18,M,10.00,M,FEW,FEW,M,M,999.00,3300.00,M,M,M,KBOS 030350Z AUTO 21007KT 10SM FEW009 FEW033 A3018 RMK MADISHF
BED,2017-11-03 03:50,-71.2890,42.4699,M,M,M,210.00,9.00,M,30.16,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KBED 030350Z AUTO 21009KT 10SM OVC009 A3016 RMK MADISHF
HYA,2017-11-03 03:50,-70.2800,41.6700,M,M,M,170.00,4.00,M,30.19,M,7.00,M,SCT,M,M,M,300.00,M,M,M,M,KHYA 030350Z AUTO 17004KT 7SM SCT003 A3019 RMK MADISHF
TAN,2017-11-03 03:52,-71.0211,41.8756,55.00,54.00,96.42,0.00,0.00,0.00,30.19,1022.30,9.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030352Z AUTO 00000KT 9SM CLR 13/12 A3019 RMK AO2 SLP223 T01280122
ORE,2017-11-03 03:52,-72.2886,42.5701,61.00,59.00,93.12,160.00,6.00,0.00,30.15,1020.90,10.00,M,FEW,FEW,OVC,M,1600.00,8000.00,10000.00,M,M,KORE 030352Z AUTO 16006KT 10SM FEW016 FEW080 OVC100 16/15 A3015 RMK AO2 SLP209 T01610150 TSNO
PYM,2017-11-03 03:52,-70.7288,41.9090,61.00,57.00,86.67,210.00,4.00,0.00,30.20,1022.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030352Z AUTO 21004KT 10SM CLR 16/14 A3020 RMK AO2 SLP225 T01610139
FIT,2017-11-03 03:52,-71.7558,42.5519,59.00,57.90,96.13,0.00,0.00,0.00,30.17,1021.60,6.00,M,BKN,BKN,M,M,1700.00,11000.00,M,M,BR,KFIT 030352Z AUTO 00000KT 6SM BR BKN017 BKN110 15/14 A3017 RMK AO2 SLP216 T01500144
CQX,2017-11-03 03:52,-69.9933,41.6875,59.00,59.00,100.00,180.00,4.00,0.00,30.21,1023.20,9.00,M,SCT,M,M,M,200.00,M,M,M,M,KCQX 030352Z AUTO 18004KT 9SM SCT002 15/15 A3021 RMK AO2 SLP232 T01500150
OWD,2017-11-03 03:53,-71.1733,42.1912,62.10,60.10,93.16,160.00,4.00,0.00,30.18,1021.80,10.00,M,BKN,M,M,M,700.00,M,M,M,M,KOWD 030353Z AUTO 16004KT 10SM BKN007 17/16 A3018 RMK AO2 SLP218 T01670156
EWB,2017-11-03 03:53,-70.9583,41.6764,57.90,55.90,93.04,0.00,0.00,0.00,30.19,1022.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030353Z AUTO 00000KT 10SM CLR 14/13 A3019 RMK AO2 SLP223 T01440133
ORH,2017-11-03 03:54,-71.8757,42.2673,60.10,57.00,89.48,210.00,12.00,0.00,30.18,1021.80,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KORH 030354Z AUTO 21012KT 10SM OVC006 16/14 A3018 RMK AO2 CIG 005V011 SLP218 T01560139
BOS,2017-11-03 03:54,-71.0097,42.3606,60.10,59.00,96.15,200.00,8.00,0.00,30.17,1021.70,10.00,M,FEW,FEW,BKN,M,1000.00,3300.00,25000.00,M,M,KBOS 030354Z 20008KT 10SM FEW010 FEW033 BKN250 16/15 A3017 RMK AO2 SLP217 T01560150
OWD,2017-11-03 03:55,-71.1733,42.1912,M,M,M,150.00,4.00,M,30.17,M,10.00,M,BKN,M,M,M,700.00,M,M,M,M,KOWD 030355Z AUTO 15004KT 10SM BKN007 A3017 RMK CIG 6V11  MADISHF
BOS,2017-11-03 03:55,-71.0097,42.3606,M,M,M,200.00,8.00,M,30.17,M,10.00,M,FEW,FEW,M,M,999.00,3300.00,M,M,M,KBOS 030355Z AUTO 20008KT 10SM FEW009 FEW033 A3017 RMK MADISHF
BED,2017-11-03 03:55,-71.2890,42.4699,M,M,M,210.00,7.00,M,30.16,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KBED 030355Z AUTO 21007KT 10SM OVC009 A3016 RMK MADISHF
HYA,2017-11-03 03:55,-70.2800,41.6700,M,M,M,170.00,5.00,M,30.19,M,7.00,M,SCT,M,M,M,300.00,M,M,M,M,KHYA 030355Z AUTO 17005KT 7SM SCT003 A3019 RMK MADISHF
EWB,2017-11-03 03:55,-70.9583,41.6764,M,M,M,0.00,0.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030355Z AUTO 00000KT 10SM CLR A3019 RMK MADISHF
ORH,2017-11-03 03:55,-71.8757,42.2673,M,M,M,210.00,10.00,M,30.18,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KORH 030355Z AUTO 21010KT 10SM OVC006 A3018 RMK CIG 5V11  MADISHF
ORE,2017-11-03 03:55,-72.2886,42.5701,M,M,M,170.00,6.00,M,30.15,M,10.00,M,FEW,OVC,M,M,1600.00,10000.00,M,M,M,KORE 030355Z AUTO 17006KT 10SM FEW016 OVC100 A3015 RMK MADISHF
FIT,2017-11-03 03:55,-71.7558,42.5519,M,M,M,0.00,0.00,M,30.17,M,6.00,M,BKN,OVC,M,M,1699.00,11000.00,M,M,BR,KFIT 030355Z AUTO 00000KT 6SM BR BKN016 OVC110 A3017 RMK MADISHF
PYM,2017-11-03 03:55,-70.7288,41.9090,M,M,M,210.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030355Z AUTO 21004KT 10SM CLR A3020 RMK MADISHF
CQX,2017-11-03 03:55,-69.9933,41.6875,M,M,M,170.00,4.00,M,30.21,M,9.00,M,FEW,M,M,M,200.00,M,M,M,M,KCQX 030355Z AUTO 17004KT 9SM FEW002 A3021 RMK VRB04KT  MADISHF
PVC,2017-11-03 03:55,-70.2200,42.0700,M,M,M,190.00,7.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030355Z AUTO 19007KT 10SM CLR A3020 RMK MADISHF
GHG,2017-11-03 03:55,-70.6721,42.0982,60.80,59.00,93.79,M,5.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGHG 030355Z AUTO VRB05KT 10SM CLR 16/15 A3018 RMK AO2
FMH,2017-11-03 03:55,-70.5215,41.6585,59.00,59.00,100.00,170.00,8.00,0.00,30.21,M,10.00,M,SCT,SCT,SCT,M,300.00,3000.00,3500.00,M,M,KFMH 030355Z AUTO 17008KT 10SM SCT003 SCT030 SCT035 15/15 A3021 RMK AO2
MQE,2017-11-03 03:56,-71.1142,42.2121,59.00,57.90,96.13,190.00,13.00,0.00,30.17,1022.60,M,M,M,M,M,M,M,M,M,M,M,KMQE 030356Z AUTO 19013KT 15/14 A3017 RMK AO1 SLP226 T01500144
PVC,2017-11-03 03:56,-70.2200,42.0700,57.90,57.00,96.81,190.00,7.00,0.00,30.20,1022.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030356Z AUTO 19007KT 10SM CLR 14/14 A3020 RMK AO2 SLP226 T01440139
HYA,2017-11-03 03:56,-70.2800,41.6700,61.00,60.10,96.85,180.00,5.00,0.00,30.19,1022.40,7.00,M,SCT,M,M,M,300.00,M,M,M,M,KHYA 030356Z AUTO 18005KT 7SM SCT003 16/16 A3019 RMK AO2 SLP224 T01610156
